id,author,clean_comment,sentiment
52,@aphangsuhendra7749,cek tuh takaran liternya spbu kayak minyakita,neutral
53,@KusWa-m8g,smangat pa basuki cahya purnama,positive
54,@yohanesbosko4542,buka pa ahok orang disingkirkan,negative
55,@redmimeukek6627,ahok dijadikan pemimpin amanah,positive
56,@alfredtiran9950,omon omon sj kenap pertamina bongkar skrng br bicara lucu ya,positive
57,@after-rain-pf8jv,dunia menolak mu ahok bapa kebenaran negeri tuhan yg membela mu berperan negeri,negative
58,@NingsihSih-h3e,tokoh ahli laporan pendapat penyelewengan indikasi korupsi pejabat dann penguasa negeri disertai bukti bukti nampaknya pejabat berkaitan hukum berdalih laporkan bukti,neutral
59,@JakaRiana,manusia serakah sekaya apapun seberkuasa apapun kalean yg kau hasil ngerampok niscaya hidup kalean ga tenang kehawatiran selau menghantui kalean salam waras,negative
60,@wahidhabibi-e5c,suka kinerja ahok indonesia butuh pemimpin jujur amanah gk peduli ras,positive
61,@OcanSetyo,ngomong nya ahok positif nigatifnya buka udh kedaluarsa korupsinya,positive
62,@putratjuang9136,nasehat orang tua paman menghindari praktek² tdk terpuji orang rekan lurus dimakan sembilan cerita puluhan,negative
63,@putratjuang9136,woow jutaan yg nonton booommm,positive
64,@Londo_ireng_channel,berjuang semangat pakahok,positive
65,@rayastudy1653,pinter ngelawak alurnya gx jsdi komut,positive
66,@sbuzau1976,salut tajam lugas,positive
67,@FIKRINew-l6u,kerren ni ahok klw korupsi maju,negative
68,@barrysandjaja7451,mamang aing the best,positive
69,@yatnokreatifchannel9728,anehnya negri orang yg judur idealis ahok yg membenci,negative
70,@denninuariskm,budaya yg mengakar puluhan sulit merubahnya masyarakat indonesia adji mumpung bansos tingkat rt yg dikasih duluan koloni rt yg notabennya orang sanak keluarganya orang membutuhkan bansos coba aja level masyarakat pengumuman subsidi rame beli produk dijual masyarakat harga mahal menandakan masyarakat kelas kkn dikasih godaan aja nyambar kekuasaan indonesia darurat org jujur sulit menemukan orang jujur orang jujur seringkali aneh bahan bully orang yg terbiasa nyaman ketidakseharusannya,negative
71,@ahmadamiruddin7984,ahok cocok banget presiden,positive
72,@fajaririanto2221,setuju ahok ganyang korupsi babat abis pertamina,negative
73,@muhariz,bodo bodo sengaja mengerti ahok menerus mengoposisi ahok curiga dibayar musuh musuhnya ahok,negative
74,@zulkifli-np1hx,erictohir arus pangil karn mentri bumn,neutral
75,@JamhirJamhir-o9k,ahok masuk hukum agama politik,negative
76,@masbre9208,sehat ahok kesaksian membuka kebobrokan yg pertamina,negative
77,@irwantosihombing3061,sehat menyertai ahok keluarga,positive
78,@shifaalya9660,ahok disuruh jaga pertamina omon maling beraksi santai yg disalahi rezim lapor erick thohir pura pintar lhu hok copet teriak rampok kau cuci tangan hok,negative
79,@unankps3367,erik urus pssi aja kasih ahok bumn biar gerah org yg korup titipan partai,negative
80,@bosbawang5553,sayang ya anak buah ma banteng,positive
81,@redoxpdw1462,kuduga pecahnya kilang indramayu unsur kesengajaan tau aja penjelasannya pa ahok,negative
82,@bosbawang5553,halah kenap ngga kuh komisaris,negative
83,@unankps3367,ahok org jujur pertamina udh korup bekinganya gila klo kga presiden yg berani kga kebuka bumn yg,negative
84,@ArwanSiregar-e4d,sandra mulyono pororo berkutik macan asia macan ompong,neutral
85,@PierreNesar,menit gak clue cma pembelaan bongkar knpa sih lu gak ato pura gak ato lu terlibat gitu aja lu jujur masyarakat dkung lu bertele tele rakyat pnya opini,negative
86,@bambangtriyono5599,mantan komisaris utama pertamina badan pengawas terkaget kaget bawahnya bobrok amburadul,negative
87,@bahrulalul6333,sooo jago dngan data yg penjarakan smua kemana wey menjabat giliran priksa kejagung jam ga tau hok hok bisanya koar doang,negative
88,@orisuas,orang jujur bicara mantap ahokkk,positive
89,@CastroSaetae-p7u,iseng doang ｗｉｎ bikin betah,positive
90,@toyoopalu,ahok ahok kagum denganmu,positive
91,@AkunRaydah,yg korupsi permina ahok,negative
92,@JoniBalak,omon bilang tau smua glirand priksa kaget gak tau smua tu pret korea d,negative
93,@radensarono4362,ahok vs everybody dr suka dg ahok berharap beliau jd presiden,neutral
94,@AsTuti-d5y,masyrakat sumbar mendukung ahok orang jujur negara semoga sehat slalu amin,positive
95,@AgungSaputra-bt5sl,bissanya orang pandai bicara,positive
96,@marioadventinosepulo3681,indonesia alasan sya ketegasan pemimpin jiwa jasmani rohani kaum sehat sejatra bahasa bahaya yg protes kaum miskin sampe,negative
97,@genosan_2890,tuh keren banget gua ngerasain wagub gubernur,positive
98,@hasimjohani2853,orang yg gk iman mati siksa mati dn yg lakukan pertanggung jawabannya kelak berbuat dosa korupsi sogok menyogok jujur,negative
99,@sudisamiyono7850,cipta kondisi cipta opini tradisi,neutral
100,@AbbuYusuf-o9p,basuki,neutral
